tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,domain,set
28.0,31.0,17.0,4.0,5.440475774414893,2.4285714285714284,0.1838074538816501,wide,original
24.0,25.0,18.0,4.0,5.367459858073278,3.0,0.18630786749078052,wide,original
28.0,28.0,20.0,3.0,6.937474030470914,2.142857142857143,0.1441446837289451,wide,original
24.0,25.0,14.0,4.0,4.509708515208733,2.3333333333333335,0.22174382149701194,wide,original
30.0,29.0,21.0,4.0,6.318820237235872,2.8,0.1582573902177416,wide,original
25.0,25.0,16.0,4.0,7.077017647209487,2.56,0.14130245957409848,wide,original
29.0,29.0,22.0,4.0,6.118559682361033,3.0344827586206895,0.16343715709480822,wide,original
29.0,30.0,21.0,4.0,7.013941147238393,2.896551724137931,0.14257319515629685,wide,original
30.0,29.0,20.0,4.0,5.653847533954106,2.6666666666666665,0.17687070512505215,wide,original
25.0,25.0,16.0,4.0,6.637730100515566,2.56,0.15065391102936349,wide,original
24.0,24.0,19.0,3.0,6.996711376289023,2.375,0.14292428917232095,wide,original
26.0,26.0,18.0,5.0,6.144070426788351,3.4615384615384612,0.1627585510152955,wide,original
26.0,26.0,16.0,4.0,6.115685971685972,2.4615384615384617,0.1635139548743573,wide,original
28.0,32.0,19.0,5.0,5.70785949150736,3.3928571428571432,0.17519702464433212,wide,original
26.0,26.0,18.0,4.0,7.503974334693503,2.769230769230769,0.13326271591530497,wide,original
29.0,30.0,19.0,4.0,5.572316834212233,2.6206896551724137,0.17945856808793095,wide,original
25.0,26.0,18.0,4.0,5.817836534949967,2.88,0.1718852006227088,wide,original
16.0,78.0,2.0,12.0,1.2873131692899482,1.5,0.776811753236065,longcp,original
15.0,71.0,2.0,11.0,1.3851644953741435,1.4666666666666668,0.7219359168817653,longcp,original
21.0,141.0,2.0,18.0,1.156705538619175,1.7142857142857142,0.8645242601619741,longcp,original
18.0,107.0,3.0,15.0,1.1852707351623255,2.5,0.8436891001641476,longcp,original
19.0,120.0,2.0,15.0,1.2718114082492302,1.5789473684210527,0.7862800990098017,longcp,original
12.0,41.0,2.0,9.0,1.2927436662590954,1.5,0.7735485588521747,longcp,original
21.0,147.0,3.0,15.0,1.3475463818068385,2.142857142857143,0.7420894846373778,longcp,original
20.0,129.0,2.0,14.0,1.362056340646844,1.4,0.7341840202624053,longcp,original
15.0,68.0,2.0,11.0,1.2261634973286406,1.4666666666666668,0.8155519245016121,longcp,original
17.0,94.0,2.0,11.0,1.421462064037869,1.2941176470588236,0.7035010115988288,longcp,original
12.0,45.0,2.0,10.0,1.2076732119694056,1.6666666666666667,0.8280385704417971,longcp,original
18.0,101.0,2.0,14.0,1.3098971492739198,1.5555555555555554,0.7634187161597407,longcp,original
13.0,49.0,1.0,13.0,1.0,1.0,1.0,longcp,original
12.0,39.0,3.0,7.0,1.4627545156793067,1.75,0.6836417110875215,longcp,original
21.0,143.0,2.0,19.0,1.076090646421862,1.8095238095238093,0.9292897427601727,longcp,original
22.0,153.0,2.0,19.0,1.111951641311134,1.7272727272727273,0.8993196851806176,longcp,original
13.0,53.0,2.0,11.0,1.2147187209835961,1.6923076923076923,0.8232358510044765,longcp,original
14.0,56.0,3.0,8.0,1.5029432996804568,1.7142857142857142,0.6653610952672743,longcp,original
23.0,176.0,2.0,20.0,1.2012613235281449,1.7391304347826089,0.8324583339310105,longcp,original
13.0,52.0,2.0,12.0,1.0882553489779987,1.8461538461538463,0.9189019846666676,longcp,original
